Tipo de domicilio,Tipo de vialidad,Nombre de vialidad,Número exterior,Número interior,Tipo de asentamiento humano,Nombre del asentamiento humano,Código Postal,Nombre de la localidad,Nombre del Municipio o Delegación,Nombre del Estado o el Distrito Federal,Vialidad posterior (opcional),Descripción de ubicación (opcional),Latitud,Longitud,Horario de atención inicio,Horario de atención término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de recepción inicio,Horario de recepción término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de entrega inicio,Horario de término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Todos los trámites
HGSMF  20 S.LUIS PAZ,Boulevard, Blvd. Sierra Gorda ,304,,,Col. Siglo XXI ,37900,San Luis de la Paz, Guanajuato,Guanajuato,,,21.29409,-100.5233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      21 MAGDALENA,Privada, Privada el Rodeo,S/N,,,,84160,,,Sonora,,,30.6370581,-110.9495459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   35 SANTIAGO TUXTLA,Calle,1 de Mayo ,S/N,,,,95830,Santiago Tuxtla Norte, Veracruz Norte, Veracruz Norte,,,18.4666667,-95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  80 CIHUATLAN,Calle,1¬? de Mayo,S/N,,,Col. Centro ,48970,Cihuatlán, Jalisco,Jalisco,,,19.2376336,-104.5734639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  43 TOMATLAN,Calle,1¬? de Mayo ,695,,,Col. Las Delicias ,48450,Tomatlán, Jalisco,Jalisco,,,20.6040986,-103.3507953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      1 PUEBLA,Calle,11 Sur ,1305,,,Col. Jardines de Santiago ,72410,Puebla, Puebla,Puebla,,,19.0403987,-98.2031011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      21 PUEBLA,Calle,14 Sur ,3106,,,Col. Anzures ,72530,Puebla, Puebla,Puebla,,,18.9962666,-98.2109507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      24 EBANO,Calle,15 de Septiembre,S/N,,,Col.  ,79120,Ebano, San Luis Potosí,San Luis Potosí,,,22.2164536,-98.3679402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  61 MAZAMITLA,Calle,16 de Septiembre,S/N,,,Col. Centro ,49500,Mazamitla, Jalisco,Jalisco,,,19.9165757,-103.0212924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       5 P.ESCOBEDO,Calle,16 de Septiembre,S/N,,,Col.  ,76700,Pedro Escobedo, Querétaro,Querétaro,,,20.4976846,-100.1401887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      33 COCORIT,Calle,16 de Septiembre,S/N,,,Col.  ,85219,Cajeme, Sonora,Sonora,,,27.061801,-109.4295359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  165 DEGOLLADO,Calle,16 de Septiembre ,91,,,Col. Centro ,47980,Degollado, Jalisco,Jalisco,,,18.5899553,-98.8463542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      59 LOMA BONITA,Calle,16 de Septiembre ,43,,,"Col. Centro, Loma Bonita, Oax. ",68360,,Oaxaca,Oaxaca,,,19.1219828,-104.3470603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      31 ZIMATLAN,Calle,16 de Septiembre 505,505,,,Barrio Expiración,,Zimatan de Álvarez,Oaxaca,Oaxaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      49 SAIN ALTO,Calle,18 de Julio,S/N,,,Col.  ,99100,Saín Alto, Zacatecas, Zacatecas,,,23.6333333,-103.6333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       6 JIQUILPAN,Calle,18 de Marzo ,92,,,Col Centro ,59510,iquilpan,Michoacán,Michoacán,,,19.4102184,-103.3961582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  34  V.FLORES,Calle,1a. Poniente,S/N,,,Col. Centro ,30470,Villaflores, Chiapas,Chiapas,,,15.6535395,-92.1441284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      56 AMEALCO,Calle,1o. de Mayo,S/N,,,Col. Milpa del Panteón ,76850,Amealco, Querétaro,Querétaro,,,20.1784173,-100.135224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  19 VALLE DE SANTIAGO,Calle,1o. de Mayo ,S/N,,,Col. Emiliano Zapata ,38400,Valle de Santiago, Guanajuato,Guanajuato,,,20.4010317,-101.1943014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  22  ACAPETAHUA,Calle,1ra. Oriente ,5,,,Col. Centro ,30580,Acapetahua, Chiapas,Chiapas,,,16.7939291,-93.094747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      42 TEPEACA,Calle,2 Norte ,S/N,,,Libramiento Carretera Puebla- Tehuacán,75200,Tepeaca, Puebla,Puebla,,,18.9655556,-97.9041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    43 CIUDAD SERDAN,Calle,2 Norte ,S/N,,,Barrio de Guadalupe,75520,Cd. Serdán,Puebla,Puebla,,,18.9854,-97.44449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
