Unidad,Latitude,Longitud,imssadis,unidadsadis,pmejoro,pigual,pempeoro,Mujer,Hombre,edad
HGPMF 31 MEXICALI,32.6630,-115.4664, 93.3 , 93.3 , 83.0 , 14.6 , 2.4 , 65.8 , 34.2 , 57.1 
HGRMF 1 CUERNAVACA,32.5887,-115.3722, 81.6 , 81.4 , 58.1 , 34.2 , 7.7 , 71.1 , 28.9 , 50.4 
HGSMF 12 AGUAPRIETA,31.3136,-109.5412, 75.3 , 79.5 , 44.5 , 41.8 , 13.7 , 67.2 , 32.8 , 47.6 
HGSMF 15 LA VARAS,21.5054,-104.8736, 86.4 , 86.5 , 38.4 , 49.7 , 12.0 , 64.7 , 35.3 , 54.8 
HGSMF 16 OMEALCA,18.7405,-96.7715, 74.7 , 74.6 , 46.2 , 50.7 , 3.1 , 69.3 , 30.7 , 55.3 
HGSMF 19 CD.ALTAMIRANO,.,., 80.9 , 79.3 , 80.6 , 17.6 , 1.8 , 73.7 , 26.3 , 44.4 
HGSMF 19 HUIXTLA,15.1434,-92.4588, 90.1 , 87.7 , 48.2 , 21.3 , 30.5 , 52.9 , 47.1 , 50.2 
HGSMF 2 EL SALTO,25.2935,-103.9984, 89.6 , 85.9 , 66.6 , 33.4 , -   , 47.0 , 53.0 , 48.3 
HGSMF 23 NACOZARI,22.2384,-97.8740, 93.9 , 93.9 , 67.7 , 29.3 , 3.1 , 70.3 , 29.7 , 52.8 
HGSMF 26 CABO SAN LUCAS,.,., 79.5 , 76.9 , 48.7 , 36.1 , 15.2 , 69.2 , 30.8 , 38.2 
HGSMF 26 TUXPAN,20.9551,-97.3916, 74.1 , 82.7 , 58.3 , 29.6 , 12.1 , 67.2 , 32.8 , 53.0 
HGSMF 28 CASIMIRO CAST,19.6037,-104.4392, 90.4 , 93.9 , 96.5 , 3.5 , -   , 67.4 , 32.6 , 50.0 
HGSMF 3 CHILPANCINGO,16.8541,-99.8569, 70.2 , 72.9 , 55.7 , 38.2 , 6.1 , 75.6 , 24.4 , 48.0 
HGSMF 30 GUAMUCHIL,25.4587,-108.0777, 94.6 , 92.1 , 66.8 , 28.2 , 5.0 , 61.5 , 38.5 , 55.3 
HGSMF 4 EL NARANJO,.,., 93.2 , 93.2 , 92.9 , -   , 7.1 , 59.6 , 40.4 , 51.9 
HGSMF 4 NAVOLATO,24.7656,-107.7019, 95.9 , 93.6 , 75.8 , 24.2 , -   , 67.1 , 32.9 , 55.5 
HGSMF 4 TECOMAN,18.9137,-103.8771, 88.0 , 89.7 , 76.5 , 15.6 , 7.9 , 72.7 , 27.3 , 46.2 
HGSMF 46 UMAN,.,., 74.1 , 79.6 , 54.9 , 42.0 , 3.1 , 70.7 , 29.3 , 47.2 
HGSMF 5 TIZIMIN,.,., 88.3 , 88.3 , 42.8 , 57.2 , -   , 69.4 , 30.6 , 53.6 
HGSMF 6 ACAPONETA,22.4964,-105.3594, 96.4 , 94.0 , 63.0 , 32.7 , 4.2 , 66.9 , 33.1 , 52.6 
HGSMF 6 PARRAS,.,., 57.5 , 63.4 , 49.4 , 40.3 , 10.3 , 71.5 , 28.5 , 45.7 
HGSMF 8 TLAXCALA,19.3257,-98.2291, 82.2 , 83.4 , 62.6 , 24.3 , 13.0 , 65.1 , 34.9 , 49.1 
HGSMF 9 RIO VERDE,21.7743,-99.9131, 74.4 , 71.0 , 52.8 , 36.8 , 10.4 , 68.0 , 32.0 , 48.2 
HGZMF 1 CAMPECHE,19.8338,-90.5465, 74.0 , 73.4 , 44.9 , 45.6 , 9.5 , 64.6 , 35.4 , 53.7 
HGZMF 1 DURANGO,24.0256,-104.6693, 75.1 , 71.4 , 50.0 , 40.2 , 9.8 , 68.4 , 31.6 , 47.3 
HGZMF 1 LA PAZ,24.1489,-110.3322, 87.5 , 89.7 , 57.9 , 35.5 , 6.5 , 62.5 , 37.5 , 48.4 
HGZMF 1 PACHUCA,20.1114,-98.7641, 76.4 , 77.4 , 69.0 , 11.7 , 19.3 , 70.6 , 29.4 , 47.2 
HGZMF 1 TAPACHULA,14.9112,-92.2609, 75.2 , 83.7 , 40.2 , 51.0 , 8.9 , 74.2 , 25.8 , 46.7 
HGZMF 10 S. IXCUINTLA,21.8156,-105.2001, 88.5 , 90.2 , 49.4 , 31.7 , 18.8 , 65.3 , 34.7 , 57.8 
HGZMF 12 LAZARO CARDENAS,17.9542,-102.1925, 82.0 , 89.4 , 58.3 , 27.5 , 14.1 , 48.9 , 51.1 , 48.3 
HGZMF 16 C. CUAUHTEMOC,17.0665,-96.7022, 78.1 , 81.3 , 52.9 , 37.0 , 10.1 , 77.3 , 22.7 , 45.4 
HGZMF 18 TORREON,25.5357,-103.4495, 89.6 , 89.7 , 59.9 , 33.1 , 7.0 , 68.1 , 31.9 , 53.9 
HGZMF 2 IRAPUATO,20.6647,-101.3715, 76.9 , 78.7 , 60.2 , 20.6 , 19.2 , 77.3 , 22.7 , 43.4 
HGZMF 2 MONTERREY,25.6854,-100.2578, 86.0 , 88.7 , 70.5 , 29.5 , -   , 69.6 , 30.4 , 52.1 
HGZMF 2 SALINA CRUZ,16.2133,-95.2059, 79.0 , 82.3 , 64.2 , 23.5 , 12.4 , 55.0 , 45.0 , 48.2 
HGZMF 2 SAN LUIS POTOSI,22.1721,-100.9916, 84.2 , 86.1 , 69.5 , 24.3 , 6.2 , 73.2 , 26.8 , 51.4 
HGZMF 21 LEON,21.1098,-101.6901, 77.5 , 80.9 , 61.1 , 23.3 , 15.7 , 61.8 , 38.2 , 46.3 
HGZMF 23 HIDALGO PARRAL,25.5690,-103.4991, 96.1 , 96.1 , 72.2 , 18.4 , 9.4 , 60.9 , 39.1 , 57.0 
HGZMF 24 NUEVA ROSITA,27.9348,-101.2141, 69.0 , 82.8 , 71.9 , 16.9 , 11.2 , 61.6 , 38.4 , 53.9 
HGZMF 3 MAZATLAN,23.2244,-106.4201, 82.0 , 87.8 , 67.3 , 19.1 , 13.6 , 57.1 , 42.9 , 51.3 
HGZMF 32 GUASAVE,25.5736,-108.4637, 93.2 , 93.1 , 75.4 , 21.6 , 3.0 , 63.2 , 36.8 , 54.1 
HGZMF 32 MINATITLAN,17.9868,-94.5478, 83.2 , 87.6 , 63.7 , 26.9 , 9.4 , 70.1 , 29.9 , 50.1 
