state_code,mun_code,mun_name,,mapa,conapo,,,ent,mun,Clave,clavem,Municipio,poblaciontotal,poblacionanalfabeta,poblacion,Ocupantesenviviendassindrenaje,OcupanteenviviendassinenergÌaelÈctrica,Ocupantesenviviendassinaguaentubada,Viviendasconalg˙nniveldehacinamiento,Ocupantesnviviendasconpisodetierra,Poblacionenlocalidadesconmenosde5000habitantes,Poblacionocupadaconingresodehasta2salariosminimos,indicedemarginacion,Gradodemarginacion,indicedemarginacionescala,Lugarqueocupaenelcontextonacional,,
1,1,Aguascalientes,,11,11,VERDADERO,,1,1,01,1001, Aguascalientes                                   , 797 010 ,2.59,11.48,0.49,0.31,0.77,25.25,1.42,8.73,29.90,-1.7684,Muy bajo,7.6904, 2 409,,
1,2,Asientos,,12,12,VERDADERO,,1,2,01,1002, Asientos                                         , 45 492 ,5.54,26.02,5.72,2.14,2.05,45.27,2.59,100.00,59.52,-0.4626,Medio,22.4450, 1 591,,
1,3,Calvillo,,13,13,VERDADERO,,1,3,01,1003, Calvillo                                         , 54 136 ,6.19,28.88,0.79,0.87,1.80,39.79,2.42,50.76,60.08,-0.7540,Bajo,19.1524, 1 836,,
1,4,Cos√≠o,,14,14,VERDADERO,,1,4,01,1004, CosÌo                                            , 15 042 ,4.35,21.81,2.18,2.00,0.29,44.69,3.26,100.00,54.76,-0.6478,Medio,20.3522, 1 740,,
1,5,Jes√∫s Mar√≠a,,15,15,VERDADERO,,1,5,01,1005, Jes˙s MarÌa                                      , 99 590 ,3.76,18.21,1.26,1.17,1.43,39.16,2.59,45.17,31.15,-1.2622,Muy bajo,13.4105, 2 202,,
1,6,Pabell√≥n de Arteaga,,16,16,VERDADERO,,1,6,01,1006, PabellÛn de Arteaga                              , 41 862 ,4.11,18.74,0.94,0.98,1.45,41.38,1.54,31.60,36.30,-1.2451,Bajo,13.6028, 2 194,,
1,7,Rinc√≥n de Romos,,17,17,VERDADERO,,1,7,01,1007, RincÛn de Romos                                  , 49 156 ,4.70,19.22,2.23,0.80,1.22,42.29,3.68,43.06,46.42,-1.0346,Bajo,15.9820, 2 056,,
1,8,San Jos√© de Gracia,,18,18,VERDADERO,,1,8,01,1008, San JosÈ de Gracia                               , 8 443 ,3.45,18.93,6.33,1.85,2.60,41.65,1.53,100.00,50.43,-0.7534,Bajo,19.1593, 1 833,,
1,9,Tepezal√°,,19,19,VERDADERO,,1,9,01,1009, Tepezal·                                         , 19 668 ,5.91,26.77,3.23,1.32,0.87,47.40,2.17,100.00,45.62,-0.6085,Medio,20.7962, 1 713,,
1,10,El Llano,,110,110,VERDADERO,,1,10,01,1010, El Llano                                         , 18 828 ,5.77,25.67,6.22,3.03,1.85,45.18,2.30,71.32,48.18,-0.6723,Medio,20.0756, 1 763,,
1,11,San Francisco de los Romo,,111,111,VERDADERO,,1,11,01,1011, San Francisco de los Romo                        , 35 769 ,4.74,20.51,0.71,0.53,0.67,42.84,1.56,54.92,32.69,-1.1444,Bajo,14.7415, 2 130,,
2,1,Ensenada,,21,21,VERDADERO,,2,1,02,2001, Ensenada                                         , 466 814 ,4.77,17.93,0.72,2.62,8.97,29.50,3.82,22.82,31.76,-1.3605,Muy bajo,12.2993, 2 266,,
2,2,Mexicali,,22,22,VERDADERO,,2,2,02,2002, Mexicali                                         , 936 826 ,2.31,12.20,0.36,0.53,1.38,29.02,2.19,12.86,22.35,-1.7544,Muy bajo,7.8488, 2 405,,
2,3,Tecate,,23,23,VERDADERO,,2,3,02,2003, Tecate                                           , 101 079 ,2.48,15.00,0.81,2.50,10.64,29.04,3.28,29.39,24.57,-1.4951,Muy bajo,10.7789, 2 313,,
2,4,Tijuana,,24,24,VERDADERO,,2,4,02,2004, Tijuana                                          ,1 559 683 ,2.11,11.71,0.36,0.58,2.24,28.87,3.99,3.23,18.24,-1.8166,Muy bajo,7.1457, 2 420,,
2,5,Playas de Rosarito,,25,25,VERDADERO,,2,5,02,2005, Playas de Rosarito                               , 90 668 ,2.86,15.32,0.59,1.34,14.34,30.54,3.51,21.49,25.02,-1.4881,Muy bajo,10.8580, 2 311,,
3,1,Comond√∫,,31,31,VERDADERO,,3,1,03,3001, Comond˙                                          , 70 816 ,5.44,22.69,1.58,2.08,3.20,33.62,5.42,22.03,36.92,-1.1999,Bajo,14.1143, 2 168,,
3,2,Muleg√©,,32,32,VERDADERO,,3,2,03,3002, MulegÈ                                           , 59 114 ,5.87,23.41,2.52,3.86,6.99,32.48,2.66,46.34,33.85,-1.0868,Bajo,15.3918, 2 091,,
3,3,La Paz,,33,33,VERDADERO,,3,3,03,3003, La Paz                                           , 251 871 ,2.34,10.81,0.56,1.93,4.72,25.34,2.84,12.52,23.91,-1.7448,Muy bajo,7.9567, 2 403,,
3,8,Los Cabos,,38,38,VERDADERO,,3,8,03,3008, Los Cabos                                        , 238 487 ,2.89,13.11,0.67,3.35,10.74,37.70,9.70,9.62,17.13,-1.4602,Muy bajo,11.1723, 2 305,,
3,9,Loreto,,39,39,VERDADERO,,3,9,03,3009, Loreto                                           , 16 738 ,3.33,16.50,2.41,9.09,7.70,35.08,8.36,12.03,23.40,-1.2663,Muy bajo,13.3636, 2 206,,
4,1,Calkin√≠,,41,41,VERDADERO,,4,1,04,4001, CalkinÌ                                          , 52 890 ,13.12,28.54,20.87,1.44,6.29,52.83,2.80,26.28,65.63,-0.2367,Medio,24.9983, 1 404,,
4,2,Campeche,,42,42,VERDADERO,,4,2,04,4002, Campeche                                         , 259 005 ,5.02,15.90,2.09,0.92,1.16,37.34,1.79,9.71,38.19,-1.3790,Muy bajo,12.0901, 2 277,,
