Unidad,Latitud,Longitud,sadisfecho
HGPMF 31 MEXICALI,32.663,-115.4664,93.34216005
HGRMF 1 CUERNAVACA,32.5887,-115.3722,81.39439767
HGSMF 12 AGUAPRIETA,31.3136,-109.5412,79.52882819
HGSMF 15 LA VARAS,21.5054,-104.8736,86.53523339
HGSMF 16 OMEALCA,18.7405,-96.7715,74.62818272
HGSMF 19 CD.ALTAMIRANO,.,.,79.33437827
HGSMF 19 HUIXTLA,15.1434,-92.4588,87.7479822
HGSMF 2 EL SALTO,25.2935,-103.9984,85.94619573
HGSMF 23 NACOZARI,22.2384,-97.874,93.87016241
HGSMF 26 CABO SAN LUCAS,.,.,76.90111606
HGSMF 26 TUXPAN,20.9551,-97.3916,82.72881156
HGSMF 28 CASIMIRO CAST,19.6037,-104.4392,93.92125686
HGSMF 3 CHILPANCINGO,16.8541,-99.8569,72.90201392
HGSMF 30 GUAMUCHIL,25.4587,-108.0777,92.06410958
HGSMF 4 EL NARANJO,.,.,93.16230686
HGSMF 4 NAVOLATO,24.7656,-107.7019,93.61016848
HGSMF 4 TECOMAN,18.9137,-103.8771,89.69743286
HGSMF 46 UMAN,.,.,79.56047549
HGSMF 5 TIZIMIN,.,.,88.31340178
HGSMF 6 ACAPONETA,22.4964,-105.3594,93.99958877
HGSMF 6 PARRAS,.,.,63.43639766
HGSMF 8 TLAXCALA,19.3257,-98.2291,83.35631087
HGSMF 9 RIO VERDE,21.7743,-99.9131,71.00995726
HGZMF 1 CAMPECHE,19.8338,-90.5465,73.36837051
HGZMF 1 DURANGO,24.0256,-104.6693,71.43246454
HGZMF 1 LA PAZ,24.1489,-110.3322,89.67940221
HGZMF 1 PACHUCA,20.1114,-98.7641,77.43754114
HGZMF 1 TAPACHULA,14.9112,-92.2609,83.68260639
HGZMF 10 S. IXCUINTLA,21.8156,-105.2001,90.18350091
HGZMF 12 LAZARO CARDENAS,17.9542,-102.1925,89.41925137
HGZMF 16 C. CUAUHTEMOC,17.0665,-96.7022,81.28983239
HGZMF 18 TORREON,25.5357,-103.4495,89.68619735
HGZMF 2 IRAPUATO,20.6647,-101.3715,78.74764404
HGZMF 2 MONTERREY,25.6854,-100.2578,88.67452391
HGZMF 2 SALINA CRUZ,16.2133,-95.2059,82.29280854
HGZMF 2 SAN LUIS POTOSI,22.1721,-100.9916,86.06270069
